epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
157,367.102,0.78199,0.89088,1.18825,0.2125,0.69231,0.18682,0.1425,0.58528,14.6328,0.88414,0.000660117,0.000660117,0.000660117
158,369.331,0.83987,0.93885,1.26958,0.21451,0.69231,0.18733,0.1416,0.59298,14.4267,0.88818,0.000645118,0.000645118,0.000645118
159,371.569,0.79886,0.87633,1.33665,0.21201,0.69231,0.20094,0.156,0.59773,13.9949,0.90269,0.000630118,0.000630118,0.000630118
160,373.504,0.86693,1.02088,1.41608,0.21709,0.69231,0.21609,0.15933,0.63279,13.4023,0.93,0.000615119,0.000615119,0.000615119
161,375.644,0.78155,0.95285,1.32484,0.22382,0.69231,0.22526,0.1568,0.72536,12.5717,0.99865,0.00060012,0.00060012,0.00060012
162,378.194,0.76605,0.97265,1.34299,0.22802,0.69231,0.22183,0.16314,0.69885,12.4409,0.97405,0.000585121,0.000585121,0.000585121
163,380.756,0.89204,1.01528,1.37291,0.24484,0.69231,0.23862,0.1691,0.72225,12.0169,0.99256,0.000570121,0.000570121,0.000570121
164,383.261,0.77812,0.94558,1.40924,0.23921,0.69231,0.24037,0.16437,0.78178,11.003,1.0506,0.000555122,0.000555122,0.000555122
165,385.189,0.84479,0.90111,1.3508,0.25281,0.61538,0.241,0.16712,0.80041,11.9041,1.07356,0.000540123,0.000540123,0.000540123
166,387.579,0.76795,0.95958,1.34517,0.25455,0.60446,0.24118,0.1674,0.80396,12.9065,1.07648,0.000525124,0.000525124,0.000525124
167,389.53,0.80468,0.97467,1.44016,0.22671,0.69231,0.22828,0.15322,0.8361,12.435,1.1121,0.000510125,0.000510125,0.000510125
168,391.904,0.76726,1.03798,1.4017,0.21237,0.69231,0.21698,0.14185,0.86603,10.9264,1.138,0.000495125,0.000495125,0.000495125
169,394.371,0.74492,0.85825,1.32698,0.21236,0.69231,0.21274,0.14007,0.85435,10.9426,1.1156,0.000480126,0.000480126,0.000480126
170,396.597,0.86524,1.02127,1.44137,0.21352,0.69231,0.21253,0.14413,0.8073,11.2352,1.06639,0.000465127,0.000465127,0.000465127
171,401.19,0.64294,0.75629,1.20584,0.19313,0.7184,0.20876,0.13594,0.87437,12.0264,1.14064,0.000450128,0.000450128,0.000450128
172,404.296,0.68248,0.84039,1.25638,0.19368,0.72098,0.19717,0.12981,0.89402,12.5861,1.16467,0.000435128,0.000435128,0.000435128
173,407.16,0.66808,0.90599,1.3088,0.1934,0.71968,0.19758,0.13864,0.81154,14.2896,1.08987,0.000420129,0.000420129,0.000420129
